Sample,Group,Expression
MCL1.DG,Experiment,7.73576799608511
MCL1.DH,Experiment,7.8214732644976
MCL1.DI,Experiment,7.32353661720082
MCL1.DJ,Experiment,7.55604955550101
MCL1.DK,Experiment,7.74428906378187
MCL1.DL,Experiment,7.98427749402182
MCL1.LA,Control,5.86472541935746
MCL1.LB,Control,5.88476925073736
MCL1.LC,Control,4.36541520299593
MCL1.LD,Control,4.55318909136354
MCL1.LE,Control,3.03898718971011
MCL1.LF,Control,3.15390231680438
MCL1.DG,Experiment,-0.799507380535693
MCL1.DH,Experiment,-0.366301240483307
MCL1.DI,Experiment,-1.6736428637368
MCL1.DJ,Experiment,-1.89880332810985
MCL1.DK,Experiment,-2.67130181865954
MCL1.DL,Experiment,-3.12123821288401
MCL1.LA,Control,4.46601466306994
MCL1.LB,Control,4.09278518621187
MCL1.LC,Control,2.48990141085537
MCL1.LD,Control,4.19407508799219
MCL1.LE,Control,6.27592471358755
MCL1.LF,Control,5.92574295224905
MCL1.DG,Experiment,0.422885040800755
MCL1.DH,Experiment,0.579927503075712
MCL1.DI,Experiment,-0.40355370036906
MCL1.DJ,Experiment,-0.313840827388696
MCL1.DK,Experiment,0.788129799977758
MCL1.DL,Experiment,0.622922882686396
MCL1.LA,Control,-0.129517079361404
MCL1.LB,Control,-0.006139046329304
MCL1.LC,Control,1.33853681931978
MCL1.LD,Control,0.271566531568804
MCL1.LE,Control,4.42778545220088
MCL1.LF,Control,4.05546249977474
MCL1.DG,Experiment,4.56442824087325
MCL1.DH,Experiment,5.01000947457715
MCL1.DI,Experiment,4.94539031307404
MCL1.DJ,Experiment,4.89561253824025
MCL1.DK,Experiment,5.47335642417234
MCL1.DL,Experiment,5.3406504515488
MCL1.LA,Control,3.92086510983665
MCL1.LB,Control,4.2622344432011
MCL1.LC,Control,4.18191596112187
MCL1.LD,Control,4.52567924222859
MCL1.LE,Control,2.18561210342859
